Team,AST,G,PTS,SHT,SOG,SOG%,CK,S%,PKM,PKA,YC,OPK,Season PCT,,,PCT,,Team
Columbus Catholic,41,57,155,183,91,62.60%,90,31.10%,0,0,0,0,0.559,,Des Moines Christian,0.955,,
Williamsburg,3,27,57,99,68,39.70%,20,27.30%,6,0,1,0,0.375,,Assumption,0.762,,
Washington,10,60,130,253,153,39.20%,41,23.70%,4,8,0,0,0.588,,Dike-New Hartford,0.889,,
Van Meter,45,83,211,384,223,37.20%,82,21.60%,1,1,2,0,0.647,,Solon,0.8,,
Assumption,55,94,243,401,273,34.40%,106,23.40%,10,12,3,0,0.762,,Center Point-Urbana,0.789,,
Pella Christian,22,38,98,178,112,33.90%,71,21.30%,2,4,0,0,0.5,,Bishop Heelan,0.737,,
St. Albert,16,47,110,229,140,33.60%,49,20.50%,2,3,5,0,0.421,,Underwood,0.806,,
Solon,24,69,162,377,209,33.00%,93,18.30%,1,1,0,0,0.8,,Nevada,0.65,,
Nevada,31,73,177,417,232,31.50%,64,17.50%,5,9,0,0,0.65,,Tri-Center,0.722,,
Des Moines Christian,97,136,369,769,433,31.40%,114,17.70%,4,5,5,0,0.955,,Garner Hayfield Ventura,0.75,,
Central Lee,28,62,152,325,202,30.70%,85,19.10%,5,8,2,0,0.667,,Vinton-Shellsburg,0.706,,
Tri-Center,60,75,210,345,244,30.70%,88,21.70%,1,1,0,0,0.722,,Western Christian,0.923,,
Bishop Heelan,43,61,165,284,200,30.50%,66,21.50%,0,0,1,0,0.737,,Centerville,0.611,,
Harlan Community,32,55,142,305,182,30.20%,67,18.00%,2,6,0,0,0.647,,Denver,0.688,,
Vinton-Shellsburg,56,79,214,358,265,29.80%,89,22.10%,2,5,1,0,0.706,,Harlan Community,0.647,,
Unity Christian,16,25,66,118,89,28.10%,78,21.20%,0,0,0,0,0.5,,Hudson,0.767,,
Centerville,22,39,100,215,156,25.00%,62,18.10%,0,0,0,0,0.611,,Regina Catholic,0.647,,
Dike-New Hartford,96,121,338,691,487,24.80%,137,17.50%,5,10,3,0,0.889,,Van Meter,0.647,,
Center Point-Urbana,65,70,205,418,291,24.10%,75,16.70%,6,7,1,0,0.789,,West Sioux,0.647,,
Regina Catholic,17,46,109,311,191,24.10%,44,14.80%,8,12,0,0,0.647,,Central Lee,0.667,,
Mediapolis,17,34,85,194,143,23.80%,31,17.50%,6,6,0,0,0.412,,Humboldt,0.556,,
Mid-Prairie,29,48,125,329,202,23.80%,78,14.60%,2,3,0,0,0.6,,Panorama,0.625,,
Marquette Catholic,9,27,63,194,115,23.50%,35,13.90%,0,4,1,0,0.467,,Sioux Center,0.625,,
Garner Hayfield Ventura,28,49,126,331,213,23.00%,63,14.80%,3,4,3,0,0.75,,Washington,0.588,,
Knoxville,28,35,98,253,157,22.30%,75,13.80%,2,3,1,0,0.5,,Columbus Catholic,0.559,,
Benton,9,31,71,263,157,19.70%,48,11.80%,2,4,0,0,0.353,,Mid-Prairie,0.6,,
Cedar Valley Christian,17,27,71,220,137,19.70%,45,12.30%,2,3,2,0,0.312,,Treynor,0.679,,
Anamosa,19,38,95,337,210,18.10%,58,11.30%,7,8,1,0,0.5,,Anamosa,0.5,,
Logan-Magnolia,12,24,60,174,133,18.00%,36,13.80%,0,0,0,0,0.167,,Clear Lake,0.571,,
West Sioux,23,47,117,334,264,17.80%,96,14.10%,3,2,1,0,0.647,,Gladbrook-Reinbeck,0.471,,
Gladbrook-Reinbeck,31,46,123,354,278,16.50%,81,13.00%,1,1,0,0,0.471,,Knoxville,0.5,,
Humboldt,13,28,69,390,175,16.00%,76,7.20%,2,2,0,0,0.556,,Kuemper Catholic,0.471,,
MOC-Floyd Valley,5,20,45,236,137,14.60%,79,8.50%,2,6,0,0,0.344,,Pella Christian,0.5,,
Greene County,1,4,9,19,5,80.00%,9,21.10%,0,1,2,0,0.083,,St. Albert,0.421,,
Treynor,48,69,186,290,159,43.40%,61,23.80%,2,2,1,0,0.679,,Unity Christian,0.5,,
Underwood,65,95,255,332,252,37.70%,55,28.60%,2,2,2,0,0.806,,Beckman Catholic,0.438,,
Union Community,14,24,62,102,76,31.60%,45,23.50%,4,0,0,0,0.5,,Grand View Christian,0.538,,
Chariton,7,13,33,86,42,31.00%,53,15.10%,2,4,0,0,0.333,,Marquette Catholic,0.467,,
Nodaway Valley - WCV,21,33,87,251,108,30.60%,51,13.10%,1,1,1,0,0.357,,Mediapolis,0.412,,
Panorama,20,42,104,243,138,30.40%,38,17.30%,2,2,0,0,0.625,,Union Community,0.5,,
Grinnell,23,26,75,180,90,28.90%,34,14.40%,0,0,0,0,0.286,,Wahlert Catholic,0.389,,
Western Christian,33,71,175,234,246,28.90%,101,30.30%,1,0,1,0,0.923,,Benton,0.353,,
West Branch,6,26,58,193,99,26.30%,83,13.50%,5,15,4,0,0.4,,West Branch,0.4,,
Clear Lake,16,44,104,290,169,26.00%,56,15.20%,2,7,0,0,0.571,,West Liberty,0.4,,
Columbus/Winfield-MU,7,11,29,104,43,25.60%,23,10.60%,0,0,1,0,0.167,,Williamsburg,0.375,,
Sioux Center,27,44,115,280,179,24.60%,72,15.70%,4,6,0,0,0.625,,Cedar Valley Christian,0.312,,
Beckman Catholic,27,38,103,240,161,23.60%,78,15.80%,0,1,0,0,0.438,,Clayton Ridge,0.417,,
Missouri Valley,10,13,36,138,55,23.60%,24,9.40%,0,0,0,0,0.25,,MOC-Floyd Valley,0.344,,
Tipton,13,24,61,236,102,23.50%,47,10.20%,2,2,0,0,0.385,,Nodaway Valley - WCV,0.357,,
North Fayette Valley,11,15,41,114,65,23.10%,0,13.20%,0,0,0,0,0.182,,Tipton,0.385,,
AHSTW,1,3,7,79,42,7.10%,10,3.80%,0,1,2,0,0,,Chariton,0.333,,
Aplington-Parkersburg,12,17,46,148,95,17.90%,24,11.50%,0,1,4,0,0.154,,East Sac County,0.286,,
Belmond-Klemme,0,3,6,19,14,21.40%,15,15.80%,0,0,2,0,0,,Grinnell,0.286,,
Clayton Ridge,16,24,64,200,114,21.10%,59,12.00%,4,8,2,0,0.417,,Logan-Magnolia,0.167,,
Denver,31,41,113,428,300,13.70%,92,9.60%,7,7,4,0,0.688,,Missouri Valley,0.25,,
East Sac,5,16,37,201,107,15.00%,41,8.00%,1,0,0,0,0.286,,Aplington-Parkersburg,0.154,,
Grand View Christian,13,17,47,125,77,22.10%,26,13.60%,0,3,1,0,0.538,,Columbus/Winfield-MU,0.167,,
Hampton Dumont CAL,8,10,28,68,66,15.20%,15,14.70%,1,5,0,0,0.125,,Hampton-Dumont-CAL,0.125,,
Hudson,33,48,129,405,309,15.50%,49,11.90%,1,0,0,0,0.767,,North Fayette Valley,0.182,,
Kuemper Catholic,8,24,56,226,195,12.30%,49,10.60%,2,2,1,0,0.471,,Northeast,0.167,,
Maquoketa,1,8,17,124,65,12.30%,22,6.50%,1,2,2,0,0.071,,Sergeant Bluff-Luton,0.147,,
Monticello,0,2,4,34,25,8.00%,14,5.90%,0,0,1,0,0.091,,Boyden-Hull/Rock Valley,0.071,,
Northeast,5,11,27,130,68,16.20%,32,8.50%,0,1,0,0,0.167,,Greene County,0.083,,
Sergeant Bluff luton,0,9,18,51,34,26.50%,11,17.60%,0,0,0,0,0.147,,Maquoketa,0.071,,
Wahlert Catholic,21,36,93,156,104,34.60%,35,23.10%,0,0,0,0,0.389,,Monticello,0.091,,
Wapello,4,11,26,83,48,22.90%,6,13.30%,1,2,2,0,0.1,,Wapello,0.1,,
West Delaware,1,2,5,44,33,6.10%,4,4.50%,0,0,1,0,0,,AHSTW,0,,
West Liberty,17,29,75,243,139,20.70%,47,11.90%,1,1,1,0,0.4,,Belmond-Klemme,0,,
,,,,,,,,,,,,,,,Boyden-Hull,0,,
,,,,,,,,,,,,,,,Clarke,0,,
,,,,,,,,,,,,,,,Riverside,0,,
,,,,,,,,,,,,,,,West Delaware,0,,
